Tanggal,Lokasi,Rating,Review,Sentimen,Skor Sentimen
2024-12-02 10:27:28,Jans Park Jatinangor,5,wahananya menyenangkan dan ramah untuk anak anak sangat merekomendasikan unuk wisata keluarga ,positif,0.2783333333333334
2024-12-02 10:27:48,Jans Park Jatinangor,2,toiletnya kotor dan bau,negatif,-0.31666666666666665
2024-12-02 10:42:12,Bendungan Jatigede,5,suasananya sejuk dan nyaman untuk bersantai,positif,0.375
2024-12-02 10:42:43,Taman Endog,2,trotoar kotor dan tidak ada tempat sampah,negatif,-0.6
2024-12-02 11:44:26,Curug Cigorobog,5,pemdangannya sangat indah dan lokasinya bersih ,positif,0.6833333333333333
2024-12-02 11:44:56,Curug Cigorobog,5,pemandangannya sangat indah sekali ,positif,1.0
2024-12-02 11:45:37,Curug Cigorobog,5,tempatnya sejuk dan bersih,positif,0.35833333333333334
2024-12-02 11:46:51,Alun-alun Sumedang,3,suasana nya nyaman namun kurang tempat sampah,positif,0.2
2024-12-02 11:47:28,Curug Cigorobog,1,bau dan kotor,negatif,-0.6
2024-12-18 10:06:58,Gunung Kunci,5,wc nya bau,netral,-0.03333333333333333
2025-01-07 15:27:01,Bendungan Jatigede,4,bendungan bagus,Negative
2025-01-07 15:28:13,Bendungan Jatigede,4,"bendungan is good, beautiful",Positive
2025-01-07 15:31:19,Gunung Kunci,4,gunung nya bagus sekali,Positive
2025-01-07 15:34:56,Gunung Kunci,3,gunungnya jelek,Negative
2025-01-07 15:43:32,Gunung Kunci,4,gunungnya bau,Negative,0.4907110929489136
2025-01-07 15:46:53,Gunung Kunci,3,gunung tidak baik,Negative,0.6878540515899658
2025-01-07 15:49:01,Bendungan Jatigede,4,bendungan lumayan bagus,Positive,0.9658018350601196
2025-01-07 15:50:45,Gunung Kunci,1,gunung jelek,Negative,0.7629426717758179
2025-01-07 15:51:16,Bendungan Jatigede,4,pemandangannya jelek,Negative,0.9714275598526001
2025-01-07 16:02:53,Gunung Kunci,3,wc nya bau sekali,Negative,0.9768407344818115
2025-01-07 16:05:19,Gunung Kunci,1,parkiran kecil,Negative,0.5814694762229919
2025-01-07 16:15:25,Gunung Kunci,4,lalalal,Neutral,0.9332245588302612
2025-01-07 16:16:14,Gunung Kunci,2,lalla,Neutral,0.8763757348060608
2025-01-07 16:17:30,Gunung Kunci,3,lalalal,Neutral,0.9332245588302612
2025-01-09 07:35:13,Taman Endog,5,endog,Neutral,0.897332489490509
2025-01-09 11:11:38,Gunung Kunci,5,parkiran nya kecil,Negative,0.8712292313575745
2025-01-10 09:49:08,Gunung Kunci,3,"parkiran susah, wc bau",Negative,0.9473322629928589
2025-01-10 10:28:02,Gunung Kunci,3,gunung na butut pisan,Neutral,0.9714955687522888
2025-01-14 03:20:18,Gunung Kunci,3,gunungnya bagus,positive,0.9822136163711548
2025-01-14 07:49:17,Gunung Kunci,3,parkiran nya jelek,negative,0.9991031885147095
